VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,CD_ENDUTIH,ENT
1,3,1,1,1,1,1,3,1,1,14,1
2,2,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,2,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,6,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,6,1,1,14,1
5,3,1,1,1,1,1,8,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,2,1,1,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,1,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,2,1,1,1,1,2,3,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,2,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,6,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,2,1,1,1,1,1,2,1,1,14,1
5,2,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,1,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,2,1,1,1,1,2,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,2,2,1,1,14,1
5,3,1,1,1,1,1,9,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,2,1,1,1,2,2,2,1,1,14,1
3,2,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,2,1,1,1,1,1,10,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,2,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,2,1,1,1,1,1,2,1,1,14,1
3,2,1,1,1,1,1,7,1,1,14,1
4,2,1,1,1,1,1,2,1,1,14,1
5,1,1,1,1,1,2,1,1,1,14,1
1,2,1,1,1,1,1,4,1,1,14,1
2,2,2,1,1,2,2,1,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,6,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,2,1,1,1,1,1,1,1,1,14,1
5,2,1,1,1,1,1,1,1,1,14,1
1,3,1,1,1,1,1,6,2,2,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,2,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,2,1,1,1,1,1,6,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,1,1,1,14,1
1,2,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
4,3,2,1,1,2,2,1,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,7,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,2,2,1,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,2,2,3,2,2,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,2,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
5,2,1,1,1,1,1,5,1,1,14,1
2,2,1,1,1,1,1,4,1,1,14,1
3,2,1,1,1,1,2,6,1,1,14,1
5,3,1,1,1,1,2,1,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,2,2,2,14,1
4,2,1,1,1,1,1,2,1,1,14,1
5,2,1,1,1,1,1,5,1,1,14,1
1,2,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,2,2,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,2,1,1,1,1,1,7,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,2,1,1,1,1,1,7,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,2,1,1,1,1,2,4,1,1,14,1
2,3,1,1,1,2,1,2,1,1,14,1
3,3,1,1,1,1,2,3,1,1,14,1
4,3,1,1,1,1,1,6,2,2,14,1
1,3,1,1,1,1,1,6,1,1,14,1
2,3,1,1,1,2,2,1,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,26,2,5,14,1
4,3,1,1,1,1,2,2,2,2,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,2,2,2,2,14,1
3,3,1,1,1,1,2,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,2,2,1,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,2,1,1,1,1,1,1,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,2,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,1,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,8,1,1,14,1
4,3,1,1,1,1,2,2,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,2,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,2,2,2,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,2,3,1,1,14,1
1,2,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,2,2,1,1,14,1
5,3,1,1,1,1,2,1,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,7,1,1,14,1
1,1,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,2,2,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,2,3,2,3,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,1,2,5,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,2,1,5,1,1,14,1
3,3,1,1,1,1,2,5,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,2,1,1,1,1,1,6,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,6,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,2,3,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,2,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,2,2,1,1,14,1
5,2,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,1,2,1,1,1,2,1,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,1,1,10,1,1,14,1
4,2,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,2,1,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,2,1,1,1,1,1,5,2,2,14,1
3,2,1,1,1,1,2,2,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,2,9,2,2,14,1
4,2,1,1,1,2,1,10,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,2,2,1,1,1,2,3,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,2,2,1,1,2,2,2,1,1,14,1
4,2,1,1,1,1,2,11,2,3,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,2,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,2,1,1,1,1,1,10,2,2,14,1
2,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,2,1,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,2,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,2,1,1,1,1,1,1,1,1,14,1
2,2,1,1,1,1,1,10,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,2,1,1,1,1,2,5,1,1,14,1
5,2,1,1,1,1,1,13,2,3,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,1,1,1,1,1,2,1,1,1,14,1
3,2,1,1,1,2,2,1,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,1,2,1,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,7,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,1,1,1,1,2,2,3,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
1,2,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,2,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,3,1,1,14,1
3,2,1,1,1,1,1,4,1,1,14,1
4,2,1,1,1,1,1,5,1,1,14,1
5,2,1,1,1,1,1,2,1,1,14,1
1,2,1,1,1,1,1,7,2,2,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,6,1,1,14,1
1,2,1,1,1,1,2,1,1,1,14,1
2,3,1,1,1,2,1,3,1,1,14,1
3,2,1,1,1,1,1,1,1,1,14,1
4,2,1,1,1,1,1,9,1,1,14,1
5,2,1,1,1,2,2,4,1,1,14,1
1,2,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,2,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,2,2,5,1,1,14,1
1,3,1,1,1,1,2,1,1,1,14,1
2,2,1,1,1,1,1,7,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,6,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,2,2,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,6,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,6,1,1,14,1
5,2,1,1,1,1,1,6,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,2,1,1,1,1,1,6,1,1,14,1
5,3,1,1,1,2,2,3,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,2,1,1,1,1,1,6,1,1,14,1
4,1,1,1,1,1,1,12,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,2,3,1,1,14,1
4,3,1,1,1,1,2,3,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,2,3,2,3,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,2,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,2,2,3,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
1,2,1,1,1,1,1,6,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,2,1,1,1,1,1,6,1,1,14,1
4,2,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,2,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,2,4,1,1,14,1
2,3,1,1,1,1,1,7,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,6,1,1,14,1
5,3,1,1,1,2,2,3,1,1,14,1
2,2,1,1,1,1,1,3,1,1,14,1
3,2,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,2,5,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,2,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,2,2,4,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
3,3,1,1,1,2,2,6,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,2,1,1,1,1,1,6,1,1,14,1
1,2,1,1,1,2,1,1,1,1,14,1
2,3,1,1,1,1,1,6,1,1,14,1
3,3,1,1,1,2,1,6,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,6,2,3,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,1,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,3,1,1,1,1,2,5,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,6,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,3,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,2,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,2,1,1,1,1,1,6,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,9,1,1,14,1
3,3,1,1,1,2,2,2,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,2,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,7,1,1,14,1
2,3,1,1,1,2,1,4,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,2,1,1,1,1,2,4,1,1,14,1
2,3,1,1,1,1,1,4,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,2,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,2,1,1,1,2,2,6,1,1,14,1
2,3,1,1,1,1,1,6,1,1,14,1
3,2,1,1,1,1,1,3,1,1,14,1
4,2,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,2,1,1,1,1,1,7,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,2,3,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,2,1,1,1,1,1,2,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,3,1,1,1,1,1,3,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,6,1,1,14,1
4,3,1,1,1,1,1,5,1,1,14,1
5,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,1,1,3,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,3,1,1,1,1,1,1,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,1,1,1,14,1
4,3,1,1,1,1,1,7,1,1,14,1
5,3,1,1,1,1,1,3,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,6,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,1,1,1,1,1,14,1
3,3,1,1,1,1,1,4,1,1,14,1
4,2,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,2,2,2,1,1,14,1
3,2,1,1,1,1,1,5,1,1,14,1
4,2,1,1,1,1,2,6,1,1,14,1
5,3,2,1,1,2,2,1,1,1,14,1
1,3,1,1,1,1,1,5,1,1,14,1
2,3,1,1,1,1,1,3,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,1,4,1,1,14,1
1,2,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,5,1,1,14,1
3,3,1,1,1,1,1,2,1,1,14,1
4,3,1,1,1,1,1,4,1,1,14,1
5,3,1,1,1,1,2,6,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,2,1,1,1,1,1,3,1,1,14,1
3,2,1,1,1,1,1,1,1,1,14,1
5,3,1,1,1,1,1,5,1,1,14,1
1,3,1,1,1,1,1,4,1,1,14,1
2,3,1,1,1,2,1,3,1,1,14,1
3,2,1,1,1,1,1,4,1,1,14,1
4,3,1,1,1,2,2,3,1,1,14,1
5,3,1,1,1,1,2,5,1,1,14,1
1,2,1,1,1,1,1,4,1,1,14,1
2,2,2,1,1,2,2,10,2,3,14,1
3,3,1,1,1,1,1,3,1,1,14,1
4,2,2,1,2,2,2,1,1,1,14,1
5,3,1,1,1,1,1,2,1,1,14,1
1,2,1,1,1,1,1,2,1,1,14,1
